Accession	Description	Classification	Genome Length (bp)	Jumbophage	molGC (%)	Molecule	Modification Date	Number CDS	Positive Strand (%)	Negative Strand (%)	Coding Capacity (%)	Low Coding Capacity Warning	tRNAs	Host	Lowest Taxa	Genus	Sub-family	Family	Order	Class	Phylum	Kingdom	Realm	Baltimore Group	Genbank Division	Isolation Host (beware inconsistent and nonsense values)
KT804908	Acinetobacter phage IME-200	Acinetobacter phage IME-200 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41243	FALSE	39.313	DNA	13-AUG-2018	50	100	0	93.943214606115	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
KX278419	Pectobacterium phage PP90	Pectobacterium phage PP90 Phimunavirus PP90 Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44570	FALSE	48.889	DNA	04-JUN-2018	57	98.2456140350877	1.75438596491228	93.863585371326	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum PB72
KX587949	Klebsiella phage phiKpS2	Klebsiella phage phiKpS2 Drulisvirus KpS2 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44024	FALSE	53.998	DNA	14-MAY-2018	53	100	0	94.0464292204252	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MH042230	Acinetobacter phage vB_AbaP_D2	Acinetobacter phage vB_AbaP_D2 Friunavirus D2 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	39964	FALSE	39.233	DNA	26-MAR-2018	44	100	0	84.8338504654189	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MG972768	Klebsiella phage myPSH1235	Klebsiella phage myPSH1235 Drulisvirus myPSH1235 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	45135	FALSE	53.663	DNA	26-MAR-2018	60	98.3333333333333	1.66666666666667	94.1575274177467	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
KY684082	Shigella phage SFN6B	Shigella phage SFN6B Drulisvirus SFN6B Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43036	FALSE	50.943	DNA	28-FEB-2018	48	100	0	93.0964773677851	NA	0	Shigella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Shigella flexneri
MG599035	Acinetobacter phage SWH-Ab-3	Acinetobacter phage SWH-Ab-3 Friunavirus SWHAb3 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41730	FALSE	39.382	DNA	26-DEC-2017	51	100	0	91.8188353702372	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MG459218	Acinetobacter phage SWH-Ab-1	Acinetobacter phage SWH-Ab-1 Friunavirus SWHAb1 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41567	FALSE	39.416	DNA	21-NOV-2017	49	100	0	92.1067192724998	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
MF612071	Klebsiella phage AltoGao	Klebsiella phage AltoGao Drulisvirus altogao Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43012	FALSE	53.292	DNA	12-OCT-2017	54	100	0	92.981028550172	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
KY888680	Acinetobacter phage WCHABP5	Acinetobacter phage WCHABP5 Friunavirus WCHABP5 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40409	FALSE	39.395	DNA	09-AUG-2017	47	100	0	91.9993070850553	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
KT240186	Dickeya phage BF25/12	Dickeya phage BF25/12 Stompvirus BF2512 Stompvirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43872	FALSE	52.186	DNA	31-JUL-2017	57	98.2456140350877	1.75438596491228	94.5705689277899	NA	0	Dickeya	Stompvirus	Stompvirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Dickeya sp. B16
KY082667	Acinetobacter phage SH-Ab 15519	Acinetobacter phage SH-Ab 15519 Friunavirus fv15519 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40493	FALSE	39.464	DNA	12-JUL-2017	46	0	100	91.7788259699207	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
KY268296	Acinetobacter phage vB_AbaP_AS11	Acinetobacter phage vB_AbaP_AS11 Friunavirus AS11 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41642	FALSE	39.292	DNA	01-JUL-2017	49	100	0	92.8845876759041	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii 28
KY268295	Acinetobacter phage vB_AbaP_AS12	Acinetobacter phage vB_AbaP_AS12 Friunavirus AS12 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41402	FALSE	39.315	DNA	01-JUL-2017	48	100	0	92.64045215207	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii 1432
KM576124	Klebsiella phage phiBO1E	Klebsiella phage phiBO1E Drulisvirus BO1E Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43865	FALSE	53.852	DNA	05-JUN-2017	57	100	0	93.0263307876439	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae subsp. pneumoniae KKBO-1
JX290549	Pectobacterium phage PhiM1	Pectobacterium phage PhiM1 Phimunavirus fM1 Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43827	FALSE	49.182	DNA	14-FEB-2017	56	98.2142857142857	1.78571428571429	95.3795605448696	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum SCRI1043
KY385423	Klebsiella phage vB_KpnP_KpV74	Klebsiella phage vB_KpnP_KpV74 Drulisvirus KpV74 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44094	FALSE	54.141	DNA	06-FEB-2017	54	100	0	93.6317866376378	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
KY117485	Ralstonia phage phiAp1	Ralstonia phage phiAp1 Ayakvirus Ap1 Ayakvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44793	FALSE	60.967	DNA	15-JAN-2017	52	100	0	90.1011318732838	NA	0	Ralstonia	Ayakvirus	Ayakvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Ralstonia solanacearum
KY245950	Acinetobacter phage AJO1	Acinetobacter phage AJO1 Daemvirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	10823	FALSE	41.347	DNA	27-DEC-2016	20	0	100	87.6559179525085	NA	0	Acinetobacter	Daemvirus	Daemvirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter johnsonii
KY245949	Acinetobacter phage AJO1	Acinetobacter phage AJO1 Daemvirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	16127	FALSE	40.950	DNA	27-DEC-2016	13	100	0	94.8409499596949	NA	0	Acinetobacter	Daemvirus	Daemvirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter johnsonii
KX237514	Klebsiella phage vB_KpnP_KpV48	Klebsiella phage vB_KpnP_KpV48 Drulisvirus KpV48 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44623	FALSE	54.129	DNA	02-NOV-2016	56	100	0	93.5369652421397	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
KX856662	Klebsiella phage KP-Rio/2015	Klebsiella phage KP-Rio/2015 Drulisvirus KPRio2015 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43557	FALSE	54.134	DNA	08-OCT-2016	55	100	0	93.2088986844824	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
KX211991	Klebsiella phage KpV475	Klebsiella phage KpV475 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42201	FALSE	54.198	DNA	05-JUL-2016	51	100	0	93.9290538138907	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
KT339321	Acinetobacter phage phiAB6	Acinetobacter phage phiAB6 Friunavirus AB6 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40570	FALSE	39.468	DNA	04-MAY-2016	45	100	0	90.3253635691398	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii 54149
KU666550	Klebsiella phage KpV71	Klebsiella phage KpV71 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43267	FALSE	53.979	DNA	22-MAR-2016	52	100	0	93.8752397901403	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae B-7850
KU310944	Pseudomonas phage YMC11/06/C171_PPU_BP	Pseudomonas phage YMC11/06/C171_PPU_BP Kantovirus C171 Kantovirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	45417	FALSE	60.354	DNA	13-MAR-2016	56	100	0	94.7882951317789	NA	0	Pseudomonas	Kantovirus	Kantovirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas putida YMC11/06/C171
KT964103	Klebsiella phage KpV41	Klebsiella phage KpV41 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44203	FALSE	53.967	DNA	24-NOV-2015	54	100	0	94.2288984910526	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
KT388103	Acinetobacter phage vB_AbaP_PD-AB9	Acinetobacter phage vB_AbaP_PD-AB9 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40938	FALSE	39.338	DNA	03-NOV-2015	47	0	100	92.6352044555181	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
KT388102	Acinetobacter phage vB_AbaP_PD-6A3	Acinetobacter phage vB_AbaP_PD-6A3 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41563	FALSE	39.477	DNA	03-NOV-2015	48	100	0	92.7074561509034	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
KT367886	Klebsiella phage Kp2	Klebsiella phage Kp2 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43963	FALSE	53.784	DNA	25-OCT-2015	57	100	0	94.2451607033187	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
KR604693	Pectobacterium phage Peat1	Pectobacterium phage Peat1 Phimunavirus peat1 Phimunavirus Corkvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	45633	FALSE	48.862	DNA	02-SEP-2015	60	98.3333333333333	1.66666666666667	94.543422523174	NA	0	Pectobacterium	Phimunavirus	Phimunavirus	Corkvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pectobacterium atrosepticum
AB716666	Klebsiella phage NTUH-K2044-K1-1	Klebsiella phage NTUH-K2044-K1-1 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43871	FALSE	54.179	DNA	13-AUG-2015	53	100	0	92.1109616831164	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
KR149290	Acinetobacter phage Fri1	Acinetobacter phage Fri1 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41805	FALSE	39.287	DNA	15-JUL-2015	52	100	0	91.3527090060998	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii 28
KC311669	Acinetobacter phage AB3	Acinetobacter phage AB3 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	31185	FALSE	39.176	DNA	05-MAY-2015	27	0	100	91.5440115440115	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	carbapenem-resistant Acinetobacter baumannii
KP708986	Klebsiella phage vB_KpnP_SU552A	Klebsiella phage vB_KpnP_SU552A Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43595	FALSE	54.153	DNA	04-MAR-2015	54	100	0	94.7172840922124	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae 07RAFM-KPN-552
KP708985	Klebsiella phage vB_KpnP_SU503	Klebsiella phage vB_KpnP_SU503 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43809	FALSE	53.749	DNA	04-MAR-2015	54	100	0	93.3643771827707	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae 07RAFM-KPN-503
JQ267518	Enterobacter phage phiKDA1	Enterobacter phage phiKDA1 Koutsourovirus KDA1 Koutsourovirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43804	FALSE	51.678	DNA	09-DEC-2014	59	100	0	92.5326454205095	NA	0	Enterobacter	Koutsourovirus	Koutsourovirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Enterobacter cloacae
KM247287	Escherichia phage J8-65	Escherichia phage J8-65 Bonnellvirus J865 Bonnellvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40981	FALSE	55.687	DNA	09-SEP-2014	47	100	0	93.4237817525195	NA	0	Escherichia	Bonnellvirus	Bonnellvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli K-12 IJ2038
KJ473423	Acinetobacter phage vB_AbaP_Acibel007	Acinetobacter phage vB_AbaP_Acibel007 Daemvirus acibel007 Daemvirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42654	FALSE	41.166	DNA	18-AUG-2014	52	100	0	93.5293290195527	NA	0	Acinetobacter	Daemvirus	Daemvirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
KF669656	Acinetobacter phage Petty	Acinetobacter phage Petty Pettyvirus petty Pettyvirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40739	FALSE	42.186	DNA	08-JUL-2014	45	100	0	91.8579248386067	NA	0	Acinetobacter	Pettyvirus	Pettyvirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii AU0783
KF765493	Klebsiella phage F19	Klebsiella phage F19 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43766	FALSE	53.820	DNA	16-APR-2014	56	98.2142857142857	1.78571428571429	93.0859571356761	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
AB854109	Ralstonia phage RSB3	Ralstonia phage RSB3 Jiaoyazivirus RSB3 Jiaoyazivirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44578	FALSE	61.032	DNA	03-OCT-2013	58	100	0	93.2276010588183	NA	0	Ralstonia	Jiaoyazivirus	Jiaoyazivirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Ralstonia solanacearum
JX658790	Acinetobacter phage Abp1	Acinetobacter phage Abp1 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42185	FALSE	39.151	DNA	20-MAY-2013	51	100	0	91.6605428469835	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
FR751545	Pantoea phage LIMEzero	Pantoea phage LIMEzero Waewaevirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43032	FALSE	55.352	DNA	12-MAY-2011	57	98.2456140350877	1.75438596491228	93.6558839933073	NA	0	Pantoea	Waewaevirus	Waewaevirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pantoea agglomerans
FR687252	Pantoea phage LIMElight	Pantoea phage LIMElight Limelightvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44546	FALSE	53.991	DNA	12-MAY-2011	54	98.1481481481482	1.85185185185185	92.0015265119203	NA	0	Pantoea	Limelightvirus	Limelightvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pantoea agglomerans
GQ413938	Klebsiella phage KP34	Klebsiella phage KP34 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43809	FALSE	54.073	DNA	28-APR-2011	58	98.2758620689655	1.72413793103448	94.672327603917	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
HQ186308	Acinetobacter phage phiAB1	Acinetobacter phage phiAB1 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41526	FALSE	39.086	DNA	29-MAR-2011	47	100	0	91.6052593555845	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii M68316
FJ896200	Vibrio phage VP93	Vibrio phage VP93 Maculvirus VP93 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43931	FALSE	49.109	DNA	08-APR-2010	50	100	0	93.5284878559559	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus PMC57.5
